method, 2:1.25, 2:1.50, 2:1.75, 2:2.0, 3:1.25, 3:1.50, 3:1.75, 3:2.0, 4:1.25, 4:1.50, 4:1.75, 4:2.0
sbd, 0.50 0.76 0.88 0.94, 0.34 0.50 0.66 0.76, 0.38 0.54 0.70 0.78, 0.22 0.48 0.66 0.84, 0.58 0.84 0.90 0.98, 0.32 0.52 0.68 0.78, 0.24 0.46 0.52 0.58, 0.10 0.26 0.38 0.46, 0.42 0.70 0.84 0.90, 0.42 0.58 0.70 0.76, 0.12 0.40 0.44 0.52, 0.12 0.30 0.36 0.38
shape_dtw, 0.96 1.00 1.00 1.00, 1.00 1.00 1.00 1.00, 0.90 1.00 1.00 1.00, 0.96 1.00 1.00 1.00, 0.96 0.98 1.00 1.00, 0.90 1.00 1.00 1.00, 0.76 0.94 1.00 1.00, 0.70 0.94 0.98 1.00, 0.70 0.90 0.98 0.98, 0.68 0.90 0.96 0.98, 0.56 0.80 0.92 1.00, 0.50 0.82 0.86 0.92
twe, 1.00 1.00 1.00 1.00, 1.00 1.00 1.00 1.00, 1.00 1.00 1.00 1.00, 0.98 1.00 1.00 1.00, 0.98 1.00 1.00 1.00, 1.00 1.00 1.00 1.00, 0.98 1.00 1.00 1.00, 1.00 1.00 1.00 1.00, 0.94 1.00 1.00 1.00, 0.96 1.00 1.00 1.00, 1.00 1.00 1.00 1.00, 0.92 0.98 1.00 1.00
wddtw, 0.88 0.96 0.98 1.00, 0.80 0.92 1.00 1.00, 0.66 0.80 0.84 0.94, 0.68 0.86 0.94 0.96, 0.84 0.94 1.00 1.00, 0.72 0.86 0.98 1.00, 0.74 0.88 0.98 1.00, 0.60 0.80 0.90 0.94, 0.64 0.80 0.82 0.88, 0.52 0.66 0.74 0.82, 0.56 0.80 0.90 0.96, 0.50 0.64 0.72 0.80
wdtw, 0.82 0.98 1.00 1.00, 0.88 0.96 1.00 1.00, 0.82 0.96 1.00 1.00, 0.82 0.98 1.00 1.00, 0.86 0.98 1.00 1.00, 0.84 0.98 1.00 1.00, 0.88 1.00 1.00 1.00, 0.82 0.92 0.98 0.98, 0.70 0.86 0.92 0.96, 0.64 0.82 0.96 0.98, 0.70 0.88 0.96 0.98, 0.56 0.82 0.86 0.92
psed, 0.98 1.00 1.00 1.00 (21.49611496925354 30741150), 1.00 1.00 1.00 1.00 (193.41970109939575 274334823), 1.00 1.00 1.00 1.00 (618.812872171402 914233016), 1.00 1.00 1.00 1.00 (1130.15372300148 1565817691), 0.94 1.00 1.00 1.00 (30.447548389434814 60658171), 0.96 1.00 1.00 1.00 (328.4723401069641 659109745), 1.00 1.00 1.00 1.00 (1077.0290179252625 2119408092), 0.98 1.00 1.00 1.00 (2541.8158905506134 4200540991), 0.86 0.94 1.00 1.00 (26.56138253211975 55807524), 0.86 0.98 0.98 0.98 (248.44547080993652 633615865), 0.92 1.00 1.00 1.00 (884.392333984375 2219763530), 0.88 0.98 0.98 0.98 (2239.966452598572 5391012077) 
psed (lb_shen), 0.98 1.00 1.00 1.00 (36.78118634223938 29333287), 1.00 1.00 1.00 1.00 (315.9498248100281 259045023), 1.00 1.00 1.00 1.00 (1087.714034795761 869608741), 1.00 1.00 1.00 1.00 (1992.3721692562103 1506600699), 0.94 1.00 1.00 1.00 (50.463828325271606 57390372), 0.96 1.00 1.00 1.00 (527.3920879364014 615898757), 1.00 1.00 1.00 1.00 (1237.0347640514374 2016964901), 0.98 1.00 1.00 1.00 (3695.976906299591 4009590570), 0.86 0.94 1.00 1.00 (27.960662126541138 51360189), 0.86 0.98 0.98 0.98 (293.7091336250305 574566482), 0.92 1.00 1.00 1.00 (1040.465568304062 2045432413), 0.88 0.98 0.98 0.98 (2644.0771300792694 4999150946)
dtw_psed,0.86 1.00 1.00 1.00,0.88 1.00 1.00 1.00,0.94 1.00 1.00 1.00,0.98 1.00 1.00 1.00,0.82 0.96 1.00 1.00,0.86 1.00 1.00 1.00,0.88 1.00 1.00 1.00,0.86 0.96 0.98 1.00,0.74 0.88 0.90 0.96,0.72 0.84 0.98 0.98,0.74 0.96 0.98 1.00,0.66 0.90 0.94 0.98
adtw_psed,0.98 1.00 1.00 1.00,1.00 1.00 1.00 1.00,1.00 1.00 1.00 1.00,1.00 1.00 1.00 1.00,0.94 1.00 1.00 1.00,0.96 1.00 1.00 1.00,1.00 1.00 1.00 1.00,0.98 1.00 1.00 1.00,0.86 0.94 1.00 1.00,0.86 0.98 0.98 0.98,0.92 1.00 1.00 1.00,0.88 0.98 0.98 0.98
ddtw_psed,0.72 0.92 0.98 1.00,0.60 0.90 0.92 0.94,0.84 0.94 0.98 1.00,0.60 0.78 0.90 0.96,0.74 0.90 0.96 0.98,0.72 0.90 0.96 0.98,0.68 0.90 0.96 0.98,0.54 0.86 0.92 0.96,0.78 0.80 0.94 0.98,0.68 0.84 0.92 0.96,0.54 0.90 0.94 0.98,0.58 0.82 0.94 0.94
erp_psed,1.00 1.00 1.00 1.00,1.00 1.00 1.00 1.00,1.00 1.00 1.00 1.00,1.00 1.00 1.00 1.00,0.98 1.00 1.00 1.00,1.00 1.00 1.00 1.00,1.00 1.00 1.00 1.00,1.00 1.00 1.00 1.00,0.98 1.00 1.00 1.00,1.00 1.00 1.00 1.00,1.00 1.00 1.00 1.00,1.00 1.00 1.00 1.00
edr_psed,0.80 0.98 1.00 1.00,0.84 0.98 1.00 1.00,0.76 0.96 1.00 1.00,0.80 0.98 0.98 1.00,0.76 0.92 0.98 1.00,0.74 0.94 0.98 1.00,0.72 0.96 0.98 0.98,0.76 0.96 0.98 1.00,0.54 0.78 0.88 0.94,0.64 0.78 0.90 0.96,0.70 0.92 0.96 1.00,0.60 0.80 0.90 0.94
lcss_psed,0.16 0.44 0.56 0.68,0.20 0.46 0.54 0.70,0.16 0.46 0.56 0.70,0.22 0.44 0.58 0.70,0.16 0.48 0.58 0.70,0.18 0.48 0.56 0.70,0.20 0.52 0.58 0.70,0.22 0.46 0.58 0.70,0.12 0.40 0.60 0.70,0.16 0.42 0.56 0.66,0.20 0.50 0.60 0.68,0.16 0.46 0.64 0.68
manhattan_psed,1.00 1.00 1.00 1.00,1.00 1.00 1.00 1.00,1.00 1.00 1.00 1.00,1.00 1.00 1.00 1.00,0.98 1.00 1.00 1.00,1.00 1.00 1.00 1.00,1.00 1.00 1.00 1.00,1.00 1.00 1.00 1.00,0.98 1.00 1.00 1.00,1.00 1.00 1.00 1.00,1.00 1.00 1.00 1.00,1.00 1.00 1.00 1.00
minkowski_psed,1.00 1.00 1.00 1.00,1.00 1.00 1.00 1.00,1.00 1.00 1.00 1.00,1.00 1.00 1.00 1.00,0.96 1.00 1.00 1.00,0.96 1.00 1.00 1.00,0.98 1.00 1.00 1.00,0.98 1.00 1.00 1.00,0.88 0.96 1.00 1.00,0.90 0.98 0.98 0.98,0.92 1.00 1.00 1.00,0.88 0.98 0.98 0.98
msm_psed,1.00 1.00 1.00 1.00,1.00 1.00 1.00 1.00,1.00 1.00 1.00 1.00,1.00 1.00 1.00 1.00,0.98 1.00 1.00 1.00,1.00 1.00 1.00 1.00,1.00 1.00 1.00 1.00,1.00 1.00 1.00 1.00,0.98 1.00 1.00 1.00,1.00 1.00 1.00 1.00,1.00 1.00 1.00 1.00,1.00 1.00 1.00 1.00
sbd_psed,0.98 1.00 1.00 1.00,0.98 1.00 1.00 1.00,1.00 1.00 1.00 1.00,1.00 1.00 1.00 1.00,0.94 1.00 1.00 1.00,0.96 1.00 1.00 1.00,0.98 1.00 1.00 1.00,1.00 1.00 1.00 1.00,0.86 0.96 1.00 1.00,0.90 0.98 0.98 0.98,0.92 1.00 1.00 1.00,0.88 0.98 0.98 0.98
